1,Rice,Tasty and filling,always,rice.jpg,1
2,Beans,Musical and bland,always,beans.jpg,1
3,Lentils,Lentily,always,lentils.jpg,1
4,puran poli,Mouth watering sweet lentil tortilla,by order,5.jpg,1
5,Jackfruit papad,Eat the fried papad and let the taste stand for hours. Very tasty and original,always,1.jpg,1
6,Jackfruit chips,Little spicy - little sweet deep fried thinly sliced jackfruit. This will beat any chips in market.,by order,Jackfruit-Chips.jpg,1
7,Raw jackfruit huli,Authentic and  original gravy made fresh everyday.,by order,jackfruit.jpg,1
8,Spicy mango gravy,Boiled raw mango gravy and seasoned with green chilly and garlic. Your toung will say you want more and  your eye will say  Don't make me cry with this spicy food,by order,mango_gravy.jpg,1
9,Laddu,Variety of laddu options are wheat laddu rava laddo Bundi laddu and more- call me to get more details.,by order,motichoor-laddu.jpeg,1
10,Rice Kesari bath,Rich and tasty  made with original safron and pure clarified butter. Lots of cashews and raisins inside. ,by order,kesari_bath.jpg,1
11,Banana or Jackfruit fritter,Melts inside your mouth  2 options available  can be prepared using ripened banana or jackfruit.,by order,muluka.JPG,1
12,Banana Roti,Healthy filling banana tortilla made with whole wheat. Call me to order. Similar to this - I can prepare other roti or tortilla for daily use,by order,banana_rotti.jpg,1
